epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,5756.96,0.93456,0.53847,0.96454,0.85889,0.83674,0.85455,0.5001,1.55765,0.8035,1.2976,0.004456,0.004456,0.004456
142,5797.59,0.93769,0.54546,0.96917,0.85278,0.84296,0.85361,0.50407,1.53294,0.79467,1.2851,0.0044164,0.0044164,0.0044164
143,5838.38,0.92152,0.53908,0.96251,0.86851,0.82708,0.84728,0.49926,1.52786,0.81157,1.2857,0.0043768,0.0043768,0.0043768
144,5879.34,0.93927,0.55262,0.9655,0.84371,0.83926,0.84845,0.498,1.54838,0.79659,1.29352,0.0043372,0.0043372,0.0043372
145,5920.18,0.93029,0.53904,0.96278,0.85412,0.82096,0.84878,0.49222,1.55849,0.8066,1.31687,0.0042976,0.0042976,0.0042976
146,5960.96,0.90077,0.5205,0.94932,0.86245,0.81631,0.8485,0.48136,1.55765,0.79311,1.30347,0.004258,0.004258,0.004258
147,6001.7,0.89391,0.51865,0.95695,0.84019,0.84007,0.84636,0.47487,1.56223,0.80279,1.31323,0.0042184,0.0042184,0.0042184
148,6042.43,0.8862,0.52065,0.95125,0.83089,0.8282,0.84221,0.48787,1.54809,0.78932,1.30647,0.0041788,0.0041788,0.0041788
149,6083.29,0.90077,0.52644,0.95548,0.83056,0.84049,0.84016,0.47961,1.54928,0.81692,1.30141,0.0041392,0.0041392,0.0041392
150,6123.95,0.90255,0.52236,0.95345,0.84682,0.81008,0.83669,0.47964,1.55613,0.81351,1.30372,0.0040996,0.0040996,0.0040996
151,6164.64,0.89377,0.5262,0.96156,0.85929,0.83572,0.83786,0.47736,1.55258,0.83831,1.30331,0.00406,0.00406,0.00406
152,6205.1,0.90523,0.5225,0.94669,0.84129,0.84214,0.84114,0.47072,1.57317,0.85425,1.32065,0.0040204,0.0040204,0.0040204
153,6245.68,0.90324,0.53433,0.96313,0.85438,0.8238,0.84004,0.4808,1.5593,0.82603,1.30912,0.0039808,0.0039808,0.0039808
154,6286.43,0.89462,0.53866,0.95418,0.8596,0.82666,0.84245,0.47433,1.56003,0.83214,1.30835,0.0039412,0.0039412,0.0039412
155,6327.25,0.87607,0.5182,0.94807,0.87572,0.83711,0.84185,0.47338,1.54922,0.84124,1.31299,0.0039016,0.0039016,0.0039016
156,6367.94,0.87357,0.51199,0.94231,0.86167,0.84535,0.85949,0.48203,1.57604,0.81351,1.33098,0.003862,0.003862,0.003862
157,6408.77,0.88767,0.51508,0.948,0.86966,0.84039,0.85852,0.48825,1.56656,0.79839,1.34367,0.0038224,0.0038224,0.0038224
158,6449.6,0.87754,0.51232,0.95004,0.87817,0.83477,0.86069,0.48611,1.57693,0.78491,1.33476,0.0037828,0.0037828,0.0037828
159,6490.51,0.85646,0.50303,0.94361,0.86564,0.82512,0.8484,0.47978,1.58545,0.79378,1.33708,0.0037432,0.0037432,0.0037432
160,6531.31,0.87277,0.50789,0.94418,0.8629,0.83845,0.85312,0.48593,1.57661,0.825,1.33169,0.0037036,0.0037036,0.0037036
161,6572.14,0.86363,0.50183,0.93635,0.85972,0.82293,0.8403,0.48856,1.56608,0.82213,1.32292,0.003664,0.003664,0.003664
162,6612.95,0.85192,0.498,0.93375,0.8154,0.84729,0.84523,0.49792,1.57547,0.81487,1.33054,0.0036244,0.0036244,0.0036244
163,6653.87,0.86076,0.51194,0.9373,0.83431,0.8179,0.84751,0.4973,1.56053,0.81993,1.32519,0.0035848,0.0035848,0.0035848
164,6694.74,0.85698,0.49473,0.93463,0.81964,0.82844,0.84952,0.50465,1.55668,0.80057,1.31866,0.0035452,0.0035452,0.0035452
165,6735.31,0.85779,0.4957,0.93924,0.84555,0.82815,0.85451,0.4981,1.55316,0.77526,1.31245,0.0035056,0.0035056,0.0035056
166,6776,0.84243,0.48603,0.94086,0.84725,0.84695,0.86254,0.497,1.56485,0.77412,1.32478,0.003466,0.003466,0.003466
167,6816.65,0.84732,0.48555,0.93972,0.83422,0.84049,0.85478,0.48751,1.56868,0.80081,1.33068,0.0034264,0.0034264,0.0034264
168,6857.32,0.83411,0.48294,0.92948,0.84611,0.8425,0.85653,0.49126,1.56985,0.81154,1.33424,0.0033868,0.0033868,0.0033868
169,6897.95,0.84095,0.48123,0.93444,0.81788,0.84248,0.84856,0.49043,1.57408,0.80753,1.34104,0.0033472,0.0033472,0.0033472
170,6938.67,0.82221,0.47542,0.92879,0.84166,0.84818,0.86047,0.49402,1.57797,0.79972,1.34328,0.0033076,0.0033076,0.0033076
171,6979.4,0.84643,0.50226,0.93852,0.85052,0.84491,0.8662,0.49941,1.58547,0.80795,1.34441,0.003268,0.003268,0.003268
172,7020.09,0.82778,0.48814,0.92347,0.85309,0.82444,0.86077,0.49807,1.59529,0.78433,1.35095,0.0032284,0.0032284,0.0032284
173,7060.78,0.82639,0.47214,0.92778,0.8547,0.84183,0.8648,0.49356,1.60577,0.8017,1.3535,0.0031888,0.0031888,0.0031888
174,7101.45,0.81501,0.473,0.92836,0.86786,0.85281,0.86737,0.4915,1.59924,0.80037,1.34786,0.0031492,0.0031492,0.0031492
175,7142.25,0.82819,0.48235,0.93487,0.87844,0.85874,0.86467,0.49479,1.58318,0.7876,1.35395,0.0031096,0.0031096,0.0031096
176,7183,0.82882,0.48882,0.9375,0.8691,0.83719,0.85331,0.49077,1.58693,0.79293,1.34999,0.00307,0.00307,0.00307
177,7223.83,0.82355,0.47543,0.93093,0.83121,0.8541,0.85494,0.48705,1.5943,0.80755,1.35819,0.0030304,0.0030304,0.0030304
